trip_id,arrival_time,departure_time,stop_id,stop_name,stop_lat,stop_lon,route_id,route_short_name,route_long_name,date
20241206-48-48181,09:19:00,09:19:00,02627,Brock Rd. S. @ Gilmour Rd.,43.466629,-80.1415634,08241224-48,48,Guelph / Hwy 407 Terminal,20241206
20241205-27-27371,13:06:00,13:06:00,01246,Mississauga Rd. @ Argentia Rd.,43.6003456,-79.7399902,08241224-27,27,Milton / North York,20241205
20241213-27-27280,09:25:00,09:25:00,00194,Milton GO Bus,43.523803,-79.867178,12240125-27,27,Milton / North York,20241213
20241231-96-96830,22:32:00,22:32:00,02572,Victoria St. @ Thickson Rd. (Thickson Ridge Power Centre),43.86726,-78.9002914,12240125-96,96,Oshawa / Finch Express,20241231
20241208-21-21860,23:33:00,23:33:00,02736,Derry Rd. @ Sauve St.,43.523968,-79.842312,12240125-21,21,Milton,20241208
20241229-LE-9136,22:20:00,22:20:00,UN,Union Station,43.645195,-79.3806,12240125-LE,LE,Lakeshore East,20241229
20241221-33-33551,17:34:00,17:34:00,00848,Hwy. 7 @ Bethel Rd.,43.6550446,-79.940506,12240125-33,33,Guelph / North York,20241221
20241230-33-33371,13:24:00,13:24:00,00930,Queen St. @ Tanners Dr.,43.6406593,-80.0248184,12240125-33,33,Guelph / North York,20241230
20241204-41-41860,22:46:00,22:46:00,00138,Bronte Rd. @ Hwy. 407 Park & Ride,43.4457626,-79.7920151,08241224-41,41,Hamilton / Pickering,20241204
20241220-56-56371,12:26:00,12:26:00,02785,Trafalgar Rd. @ Glenashton Dr.,43.480786,-79.709716,12240125-56,56,Oshawa / Oakville,20241220
20241204-21-21271,11:54:00,11:54:00,00806,Derry Rd. @ Fourth Line,43.5261955,-79.8401794,08241224-21,21,Milton,20241204
20241203-19-19151,08:12:00,08:12:00,02658,Dixie Transitway Station,43.6300478663032,-79.6146878930147,08241224-19,19,Mississauga / North York,20241203
20241209-41-41214,09:30:00,09:30:00,00132,Square One,43.5945549,-79.6475983,12240125-41,41,Hamilton / Pickering,20241209
20241215-71-71481,16:00:00,16:00:00,02112,Main St. N. @ 16th Ave.,43.8919067,-79.2639542,12240125-71,71,Stouffville,20241215
20241231-56-56471,14:56:00,14:56:00,02784,Trafalgar Rd. @ Briarhall Gate,43.477566,-79.705312,12240125-56,56,Oshawa / Oakville,20241231
20241205-21-21414,13:54:00,13:54:00,00197,Mississauga Rd. @ Mississauga Rd.,43.5983543,-79.7387848,08241224-21,21,Milton,20241205
20241209-17-17481,17:10:00,17:10:00,02818,Victoria St. N. @ Frederick St.,43.4663507673236,-80.4579750554575,12240125-17,17,Waterloo / Hamilton,20241209
20241212-32-32301,13:30:00,13:30:00,00074,Yonge St. @ Steeles Ave. W.,43.7986336,-79.4200897,12240125-32,32,Brampton Trinity Common / North York,20241212
20241217-BR-6923,17:00:00,17:00:00,EA,East Gwillimbury GO,44.077996,-79.455776,12240125-BR,BR,Barrie,20241217
20241219-LW-1775,17:11:00,17:11:00,WR,West Harbour GO,43.266775,-79.866222,12240125-LW,LW,Lakeshore West,20241219
20241208-92-92731,20:37:00,20:37:00,00623,Kingston Rd. @ Rougemount Dr.,43.80911,-79.12996,12240125-92,92,Oshawa / Yorkdale,20241208
20241212-71-71901,26:06:00,26:06:00,00965,Tenth Line @ Norm Faulkner Dr.,43.9801979,-79.2322922,12240125-71,71,Stouffville,20241212
20241211-40-40860,23:18:00,23:18:00,01001,King St. W. @ Caroline St. N.,43.258461,-79.8752441,12240125-40,40,Hamilton / Richmond Hill,20241211
20250103-41-41471,18:01:00,18:01:00,00139,Dundas St. @ Hwy. 407 Park & Ride,43.3892708,-79.8287811,12240125-41,41,Hamilton / Pickering,20250103
20241222-94-94331,12:22:00,12:22:00,01647,Yonge St. @ Florence Ave.,43.7582703,-79.4102325,12240125-94,94,Pickering / Square One,20241222
20241127-21-21781,21:25:00,21:25:00,02751,Cooksville GO Bus,43.582296,-79.624506,08241224-21,21,Milton,20241127
20241203-27-27510,15:00:00,15:00:00,01197,Derry Rd. W. @ Forest Park Dr.,43.5812836,-79.7789993,08241224-27,27,Milton / North York,20241203
20241204-48-48680,17:41:00,17:41:00,01439,Mississauga Rd. @ Argentia Rd.,43.6013832,-79.7402344,08241224-48,48,Guelph / Hwy 407 Terminal,20241204
20241217-32-32301,13:19:00,13:19:00,01650,Yonge St. @ Northtown Way,43.7753067,-79.4142609,12240125-32,32,Brampton Trinity Common / North York,20241217
20241207-33-33751,21:37:00,21:37:00,02722,Main St. @ Mill St. E.,43.6301210479395,-80.0419071434871,12240125-33,33,Guelph / North York,20241207
20241218-LE-9330,20:37:00,20:37:00,AJ,Ajax GO,43.847766,-79.041372,12240125-LE,LE,Lakeshore East,20241218
20241219-33-33811,21:38:00,21:38:00,00990,Hurontario St. @ County Court Blvd.,43.6589584,-79.7234879,12240125-33,33,Guelph / North York,20241219
20241209-27-27101,07:28:00,07:28:00,02597,6715 Millcreek Dr. @ Aquitaine Ave. (Millcreek Business Centre),43.5951004,-79.7512894,12240125-27,27,Milton / North York,20241209
20241126-33-33331,12:45:00,12:45:00,01703,Elizabeth St. @ Stevenson St. S.,43.5534325,-80.2346191,08241224-33,33,Guelph / North York,20241126
20241222-29-29211,08:58:00,08:58:00,02151,Regional Rd. 25 @ Hwy. 401 Park & Ride,43.5274849,-79.9038162,12240125-29,29,Guelph / Mississauga,20241222
20241209-27-27651,19:28:00,19:28:00,01204,Derry Rd. W. @ Terragar Blvd.,43.5817947,-79.7787247,12240125-27,27,Milton / North York,20241209
20241210-27-27160,07:21:00,07:21:00,01326,Millcreek Dr. @ Millrace Crt.,43.5927086,-79.7469559,12240125-27,27,Milton / North York,20241210
20241217-27-27331,11:45:00,11:45:00,00020,Hwy. 401 @ Keele St.,43.7232399,-79.4819412,12240125-27,27,Milton / North York,20241217
20241203-32-32280,11:09:00,11:09:00,01654,Yonge St. @ Ellerslie Ave.,43.7724152,-79.4139328,08241224-32,32,Brampton Trinity Common / North York,20241203
20241211-65-65670,17:33:00,17:33:00,01801,Wellington St. E. @ Stronach Blvd.,44.0072441,-79.4335251,12240125-65,65,Newmarket / Toronto,20241211
20241220-29-29141,07:57:00,07:57:00,01719,Brock Rd. S. @ Old Brock Rd.,43.4719391,-80.1498718,12240125-29,29,Guelph / Mississauga,20241220
20241223-32-32440,15:08:00,15:08:00,01651,Yonge St. @ Kempford Blvd.,43.777153,-79.4150925,12240125-32,32,Brampton Trinity Common / North York,20241223
20241207-94-94921,25:45:00,25:45:00,PA,Pearson Airport Terminal 1,43.6821671,-79.6132584,12240125-94,94,Pickering / Square One,20241207
20241231-BR-6808,07:59:00,07:59:00,MP,Maple GO,43.859481,-79.506984,12240125-BR,BR,Barrie,20241231
20241216-BR-6608,08:03:00,08:03:00,UN,Union Station,43.645195,-79.3806,12240125-BR,BR,Barrie,20241216
20241226-ST-7711,08:23:00,08:23:00,ST,Stouffville GO,43.970924,-79.249989,12240125-ST,ST,Stouffville,20241226
20241219-40-40290,11:14:00,11:14:00,02208,Renforth Dr. @ Convair Dr.,43.6720657,-79.5930939,12240125-40,40,Hamilton / Richmond Hill,20241219
20241213-GT-3021,14:21:00,14:21:00,WE,Weston GO,43.70022,-79.514671,12240125-GT,KI,Kitchener,20241213
20241222-47-47650,16:51:00,16:51:00,02163,Trafalgar Rd. @ Hwy. 407 Park & Ride,43.506545,-79.745813,12240125-47,47,Hamilton / Hwy 407 Terminal,20241222
20250103-92-92121,07:56:00,07:56:00,00342,Dundas St. @ White Oaks Crt.,43.8749466,-78.9636459,12240125-92,92,Oshawa / Yorkdale,20250103
20241213-41-41601,20:28:00,20:28:00,01014,Main St. W. @ Summers Ln. (Hamilton City Hall),43.2560577,-79.8728027,12240125-41,41,Hamilton / Pickering,20241213
20241222-65-65911,26:03:00,26:03:00,02172,Keele St. @ Kirby Rd.,43.8916321,-79.5207977,12240125-65,65,Newmarket / Toronto,20241222
20241205-30-30240,10:15:00,10:15:00,01440,Mississauga Rd. @ Royal Bank Dr.,43.6087875,-79.7501144,08241224-30,30,Kitchener / Bramalea,20241205
20241231-12-12442,13:44:00,13:44:00,00820,Fairview St. @ Maple Ave.,43.3287392,-79.8214798,12240125-12,12,Niagara Falls / Toronto,20241231
20241206-18-18690,16:34:00,16:34:00,01005,King St. W. @ Strathcona Ave. N.,43.2614555,-79.8850708,08241224-18,18,Lakeshore West,20241206
20241202-33-33481,14:48:00,14:48:00,00990,Hurontario St. @ County Court Blvd.,43.6589584,-79.7234879,08241224-33,33,Guelph / North York,20241202
20241206-70-70411,13:16:00,13:16:00,02575,Markham Rd. @ Castlemore Ave.,43.9040985,-79.2667618,08241224-70,70,Uxbridge / Mount Joy,20241206
